O*NET-SOC Code,Title,Task,Category,Original Task ID,Original Task,Date,Domain Source
11-2022.00,Sales Managers,Coach staff on sales tactics.,New,,,08/2025,Occupational Expert
11-2022.00,Sales Managers,Establish and monitor staff's sales goals.,New,,,08/2025,Occupational Expert
11-2033.00,Fundraising Managers,Manage stewardship activities to maintain connection with donors.,New,,,08/2025,Incumbent
11-3013.00,Facilities Managers,"Plan, create, and manage budgets for contracts, equipment, and supplies.",Revision,21280,"Plan, administer, and control budgets for contracts, equipment, and supplies.",08/2024,Incumbent
11-3013.00,Facilities Managers,Review and approve payroll for employees.,New,,,08/2024,Incumbent
11-3051.02,Geothermal Production Managers,Conduct employee safety training.,New,,,07/2011,Incumbent
11-3051.06,Hydroelectric Production Managers,Train employees in power plant operations.,New,,,07/2016,Incumbent
11-3071.00,"Transportation, Storage, and Distribution Managers",Direct the use of drones and autonomous vehicles for efficient and cost-effective delivery of goods and inventory management.,New,,,05/2025,AI/SME
11-3131.00,Training and Development Managers,"Confer with management or stakeholders and conduct surveys to identify training needs based on projected production processes, changes, and other factors.",Revision,1012,"Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors.",08/2024,Occupational Expert
11-3131.00,Training and Development Managers,"Evaluate instructor performance and the effectiveness of training programs, providing data and recommendations for improvement.",Revision,1009,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",08/2024,Occupational Expert
11-3131.00,Training and Development Managers,"Train instructors, supervisors, and other leaders in techniques and skills for training and interacting with employees.",Revision,1017,Train instructors and supervisors in techniques and skills for training and dealing with employees.,08/2024,Occupational Expert
11-9021.00,Construction Managers,"Direct how drone technology is used for site inspections and progress monitoring, ensuring accurate and timely project completion.",New,,,05/2025,AI/SME
11-9032.00,"Education Administrators, Kindergarten through Secondary",Supervise student pick-up or drop-off.,New,,,08/2025,Incumbent
11-9071.00,Gambling Managers,"Monitor the performance of the gaming floor, relocating games and installing new games as necessary.",New,,,08/2023,Incumbent
11-9199.01,Regulatory Affairs Managers,"Develop and review regulatory strategies, development plans, and implementation plans for the preparation and submission of new products.",Revision,18026,Develop regulatory strategies and implementation plans for the preparation and submission of new products.,08/2024,Occupational Expert
13-1032.00,"Insurance Appraisers, Auto Damage",Contact vendors to locate replacement parts for vehicles.,New,,,07/2016,Incumbent
13-1032.00,"Insurance Appraisers, Auto Damage",Discuss insurance claims with customers or damage claimants.,New,,,07/2016,Incumbent
13-1032.00,"Insurance Appraisers, Auto Damage",Review repair cost estimates and negotiate with automobile repair shops to secure agreement on cost of repairs.,Revision,7247,Review repair cost estimates with automobile repair shop to secure agreement on cost of repairs.,07/2016,Incumbent
13-1041.03,Equal Opportunity Representatives and Officers,"Develop guidelines for nondiscriminatory employment practices, such as affirmative action plans and equal opportunity employment policies.",Revision,20722,Develop guidelines for nondiscriminatory employment practices.,07/2015,Incumbent
13-1041.03,Equal Opportunity Representatives and Officers,"Train employees on equal opportunity laws, guidelines, or policies, such as discrimination, diversity, harassment, or affirmative action.",New,,,07/2015,Incumbent
13-1041.04,Government Property Inspectors and Investigators,"Use emerging technologies, such as drones, for remote or automated inspections.",New,,,05/2025,AI/SME
13-1041.06,Coroners,"Complete or review death certificates, including the assignment of cause and manner of death.",Revision,8915,"Complete death certificates, including the assignment of cause and manner of death.",08/2024,Occupational Expert
13-1041.06,Coroners,"Observe and record the positions and conditions of bodies and related evidence at the scene, through documentation or photographs.",Revision,8916,Observe and record the positions and conditions of bodies and related evidence.,08/2024,Occupational Expert
13-1041.07,Regulatory Affairs Specialists,Develop regulatory strategies for products.,New,,,08/2019,Occupational Expert
13-1051.00,Cost Estimators,Use remote sensing technologies or drones to evaluate site conditions when in-person visits are not feasible.,New,,,05/2025,AI/SME
13-1081.01,Logistics Engineers,"Evaluate the use of technologies, such as global positioning systems (GPS), radio-frequency identification (RFID), route navigation software, drone or robotic technology, or satellite linkup systems, to improve transportation efficiency.",Revision,19998,"Evaluate the use of technologies, such as global positioning systems (GPS), radio-frequency identification (RFID), route navigation software, or satellite linkup systems, to improve transportation efficiency.",05/2025,AI/SME
13-1121.00,"Meeting, Convention, and Event Planners","Contact potential clients, meet with professional and trade associations, and produce brochures and other publications to promote conference, convention, and trade show services.",Revision,1228,"Promote conference, convention and trades show services by performing tasks such as meeting with professional and trade associations, and producing brochures and other publications.",07/2016,Incumbent
13-1121.00,"Meeting, Convention, and Event Planners","Plan and develop programs, agendas, budgets, menus, and services according to customer requirements.",Revision,1213,"Plan and develop programs, agendas, budgets, and services according to customer requirements.",07/2016,Incumbent
13-1199.05,Sustainability Specialists,Deliver sustainability training to employees.,New,,,08/2020,Occupational Expert
13-1199.07,Security Management Specialists,Prepare written reports or presentations on findings and recommendations.,New,,,08/2025,Occupational Expert
13-1199.07,Security Management Specialists,Train personnel and vendors in security procedures or use of security equipment.,Revision,21504,Train personnel in security procedures or use of security equipment.,08/2025,Occupational Expert
13-2031.00,Budget Analysts,Communicate financial reports and budgets to stakeholders.,New,,,08/2024,Incumbent
13-2031.00,Budget Analysts,Submit and monitor salary raises.,New,,,08/2024,Incumbent
13-2053.00,Insurance Underwriters,Answer agents' questions about insurance coverage.,New,,,08/2018,Occupational Expert
15-1211.00,Computer Systems Analysts,Write code to perform desired actions.,New,,,08/2023,Incumbent
15-2011.00,Actuaries,Analyze data to determine premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.,Revision,3500,Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.,08/2023,Occupational Expert
17-1011.00,"Architects, Except Landscape and Naval",Inspect the condition of structures.,New,,,08/2021,Occupational Expert
17-1012.00,Landscape Architects,Develop and facilitate community engagement campaigns and workshops to better understand the community's needs.,New,,,08/2025,Occupational Expert
17-1012.00,Landscape Architects,Prepare ecological restoration or mitigation design plans to enhance or restore habitats.,New,,,08/2025,Occupational Expert
17-1012.00,Landscape Architects,Use drone technology to survey large areas and gather accurate topographical data.,New,,,05/2025,AI/SME
17-1021.00,Cartographers and Photogrammetrists,"Estimate resources, such as production hours, required for projects.",New,,,08/2018,Incumbent
17-1021.00,Cartographers and Photogrammetrists,Use drone technology to capture high-resolution images and data for map creation and updating.,New,,,05/2025,AI/SME
