Element ID,Element Name,Interest Type,O*NET-SOC Code,Title
1.B.1.a,Realistic,Career Type,17-3024.01,Robotics Technicians
1.B.1.a,Realistic,Career Type,45-2091.00,Agricultural Equipment Operators
1.B.1.a,Realistic,Career Type,47-2031.00,Carpenters
1.B.1.a,Realistic,Career Type,53-3052.00,"Bus Drivers, Transit and Intercity"
1.B.1.b,Investigative,Career Type,19-1029.04,Biologists
1.B.1.b,Investigative,Career Type,19-1042.00,"Medical Scientists, Except Epidemiologists"
1.B.1.b,Investigative,Career Type,19-2031.00,Chemists
1.B.1.b,Investigative,Career Type,19-3041.00,Sociologists
1.B.1.c,Artistic,Career Type,27-1012.00,Craft Artists
1.B.1.c,Artistic,Career Type,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
1.B.1.c,Artistic,Career Type,27-2011.00,Actors
1.B.1.c,Artistic,Career Type,27-2042.00,Musicians and Singers
1.B.1.d,Social,Career Type,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
1.B.1.d,Social,Career Type,21-1021.00,"Child, Family, and School Social Workers"
1.B.1.d,Social,Career Type,25-2021.00,"Elementary School Teachers, Except Special Education"
1.B.1.d,Social,Career Type,29-1141.00,Registered Nurses
1.B.1.e,Enterprising,Career Type,11-2011.00,Advertising and Promotions Managers
1.B.1.e,Enterprising,Career Type,13-1161.01,Search Marketing Strategists
1.B.1.e,Enterprising,Career Type,23-1011.00,Lawyers
1.B.1.e,Enterprising,Career Type,41-2031.00,Retail Salespersons
1.B.1.f,Conventional,Career Type,13-1041.01,Environmental Compliance Inspectors
1.B.1.f,Conventional,Career Type,13-2061.00,Financial Examiners
1.B.1.f,Conventional,Career Type,15-1242.00,Database Administrators
1.B.1.f,Conventional,Career Type,43-9061.00,"Office Clerks, General"
1.B.3.a,Mechanics/Electronics,Specific Area,17-3024.01,Robotics Technicians
1.B.3.a,Mechanics/Electronics,Specific Area,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
1.B.3.a,Mechanics/Electronics,Specific Area,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
1.B.3.a,Mechanics/Electronics,Specific Area,49-3011.00,Aircraft Mechanics and Service Technicians
1.B.3.a,Mechanics/Electronics,Specific Area,49-9081.00,Wind Turbine Service Technicians
1.B.3.b,Construction/Woodwork,Specific Area,47-2031.00,Carpenters
1.B.3.b,Construction/Woodwork,Specific Area,51-7011.00,Cabinetmakers and Bench Carpenters
1.B.3.b,Construction/Woodwork,Specific Area,51-7021.00,Furniture Finishers
1.B.3.b,Construction/Woodwork,Specific Area,51-7031.00,"Model Makers, Wood"
1.B.3.b,Construction/Woodwork,Specific Area,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
1.B.3.c,Transportation/Machine Operation,Specific Area,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
1.B.3.c,Transportation/Machine Operation,Specific Area,53-3052.00,"Bus Drivers, Transit and Intercity"
1.B.3.c,Transportation/Machine Operation,Specific Area,53-3054.00,Taxi Drivers
1.B.3.c,Transportation/Machine Operation,Specific Area,53-4011.00,Locomotive Engineers
1.B.3.c,Transportation/Machine Operation,Specific Area,53-7051.00,Industrial Truck and Tractor Operators
1.B.3.d,Physical/Manual Labor,Specific Area,45-2041.00,"Graders and Sorters, Agricultural Products"
1.B.3.d,Physical/Manual Labor,Specific Area,47-2061.00,Construction Laborers
1.B.3.d,Physical/Manual Labor,Specific Area,47-5081.00,Helpers--Extraction Workers
1.B.3.d,Physical/Manual Labor,Specific Area,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
1.B.3.e,Protective Service,Specific Area,33-3021.00,Detectives and Criminal Investigators
1.B.3.e,Protective Service,Specific Area,33-3051.00,Police and Sheriff's Patrol Officers
1.B.3.e,Protective Service,Specific Area,33-3051.04,Customs and Border Protection Officers
1.B.3.e,Protective Service,Specific Area,33-9032.00,Security Guards
1.B.3.f,Agriculture,Specific Area,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
1.B.3.f,Agriculture,Specific Area,19-1031.02,Range Managers
1.B.3.f,Agriculture,Specific Area,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
1.B.3.f,Agriculture,Specific Area,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
1.B.3.g,Nature/Outdoors,Specific Area,19-1032.00,Foresters
1.B.3.g,Nature/Outdoors,Specific Area,19-2041.02,Environmental Restoration Planners
1.B.3.g,Nature/Outdoors,Specific Area,19-4071.00,Forest and Conservation Technicians
1.B.3.g,Nature/Outdoors,Specific Area,37-3011.00,Landscaping and Groundskeeping Workers
1.B.3.h,Animal Service,Specific Area,29-1131.00,Veterinarians
