O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Relatedness Tier,Index
11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,Primary-Short,1
11-1011.00,Chief Executives,13-1111.00,Management Analysts,Primary-Short,2
11-1011.00,Chief Executives,11-3031.01,Treasurers and Controllers,Primary-Short,3
11-1011.00,Chief Executives,11-9151.00,Social and Community Service Managers,Primary-Short,4
11-1011.00,Chief Executives,11-2032.00,Public Relations Managers,Primary-Short,5
11-1011.00,Chief Executives,11-9199.02,Compliance Managers,Primary-Long,6
11-1011.00,Chief Executives,11-9033.00,"Education Administrators, Postsecondary",Primary-Long,7
11-1011.00,Chief Executives,11-1031.00,Legislators,Primary-Long,8
11-1011.00,Chief Executives,11-3031.00,Financial Managers,Primary-Long,9
11-1011.00,Chief Executives,11-1011.03,Chief Sustainability Officers,Primary-Long,10
11-1011.00,Chief Executives,11-3012.00,Administrative Services Managers,Supplemental,11
11-1011.00,Chief Executives,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,12
11-1011.00,Chief Executives,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,13
11-1011.00,Chief Executives,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Supplemental,14
11-1011.00,Chief Executives,11-3121.00,Human Resources Managers,Supplemental,15
11-1011.00,Chief Executives,27-3031.00,Public Relations Specialists,Supplemental,16
11-1011.00,Chief Executives,13-1075.00,Labor Relations Specialists,Supplemental,17
11-1011.00,Chief Executives,13-2061.00,Financial Examiners,Supplemental,18
11-1011.00,Chief Executives,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Supplemental,19
11-1011.00,Chief Executives,11-2022.00,Sales Managers,Supplemental,20
11-1011.03,Chief Sustainability Officers,13-1199.05,Sustainability Specialists,Primary-Short,1
11-1011.03,Chief Sustainability Officers,19-2041.01,Climate Change Policy Analysts,Primary-Short,2
11-1011.03,Chief Sustainability Officers,19-2041.03,Industrial Ecologists,Primary-Short,3
11-1011.03,Chief Sustainability Officers,11-9199.10,Wind Energy Development Managers,Primary-Short,4
11-1011.03,Chief Sustainability Officers,19-2041.00,"Environmental Scientists and Specialists, Including Health",Primary-Short,5
11-1011.03,Chief Sustainability Officers,19-3051.00,Urban and Regional Planners,Primary-Long,6
11-1011.03,Chief Sustainability Officers,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Primary-Long,7
11-1011.03,Chief Sustainability Officers,19-2041.02,Environmental Restoration Planners,Primary-Long,8
11-1011.03,Chief Sustainability Officers,19-1031.00,Conservation Scientists,Primary-Long,9
11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,Primary-Long,10
11-1011.03,Chief Sustainability Officers,13-1082.00,Project Management Specialists,Supplemental,11
11-1011.03,Chief Sustainability Officers,13-1111.00,Management Analysts,Supplemental,12
11-1011.03,Chief Sustainability Officers,17-2081.00,Environmental Engineers,Supplemental,13
11-1011.03,Chief Sustainability Officers,11-9199.02,Compliance Managers,Supplemental,14
11-1011.03,Chief Sustainability Officers,47-4011.01,Energy Auditors,Supplemental,15
11-1011.03,Chief Sustainability Officers,15-1299.09,Information Technology Project Managers,Supplemental,16
11-1011.03,Chief Sustainability Officers,19-3011.01,Environmental Economists,Supplemental,17
11-1011.03,Chief Sustainability Officers,11-9121.02,Water Resource Specialists,Supplemental,18
11-1011.03,Chief Sustainability Officers,25-1053.00,"Environmental Science Teachers, Postsecondary",Supplemental,19
