Element ID,Element Name,Scale ID,Scale Name,Category,Category Description
4.C.1.a.2.c,Public Speaking,CXP,Context (Categories 1-5),1,Never
4.C.1.a.2.c,Public Speaking,CXP,Context (Categories 1-5),2,Once a year or more but not every month
4.C.1.a.2.c,Public Speaking,CXP,Context (Categories 1-5),3,Once a month or more but not every week
4.C.1.a.2.c,Public Speaking,CXP,Context (Categories 1-5),4,Once a week or more but not every day
4.C.1.a.2.c,Public Speaking,CXP,Context (Categories 1-5),5,Every day
4.C.1.a.2.f,Telephone Conversations,CXP,Context (Categories 1-5),1,Never
4.C.1.a.2.f,Telephone Conversations,CXP,Context (Categories 1-5),2,Once a year or more but not every month
4.C.1.a.2.f,Telephone Conversations,CXP,Context (Categories 1-5),3,Once a month or more but not every week
4.C.1.a.2.f,Telephone Conversations,CXP,Context (Categories 1-5),4,Once a week or more but not every day
4.C.1.a.2.f,Telephone Conversations,CXP,Context (Categories 1-5),5,Every day
4.C.1.a.2.h,E-Mail,CXP,Context (Categories 1-5),1,Never
4.C.1.a.2.h,E-Mail,CXP,Context (Categories 1-5),2,Once a year or more but not every month
4.C.1.a.2.h,E-Mail,CXP,Context (Categories 1-5),3,Once a month or more but not every week
4.C.1.a.2.h,E-Mail,CXP,Context (Categories 1-5),4,Once a week or more but not every day
4.C.1.a.2.h,E-Mail,CXP,Context (Categories 1-5),5,Every day
4.C.1.a.2.j,Written Letters and Memos,CXP,Context (Categories 1-5),1,Never
4.C.1.a.2.j,Written Letters and Memos,CXP,Context (Categories 1-5),2,Once a year or more but not every month
4.C.1.a.2.j,Written Letters and Memos,CXP,Context (Categories 1-5),3,Once a month or more but not every week
4.C.1.a.2.j,Written Letters and Memos,CXP,Context (Categories 1-5),4,Once a week or more but not every day
4.C.1.a.2.j,Written Letters and Memos,CXP,Context (Categories 1-5),5,Every day
4.C.1.a.2.l,Face-to-Face Discussions with Individuals and Within Teams,CXP,Context (Categories 1-5),1,Never
4.C.1.a.2.l,Face-to-Face Discussions with Individuals and Within Teams,CXP,Context (Categories 1-5),2,Once a year or more but not every month
