File Name,Rows,Columns,Missing Values,Duplicate Rows,Memory (MB)
job_zones.csv,923,5,0,0,0.09
specific_interest_areas.csv,73062,9,0,0,12.31
career_interest_type_keywords.csv,75,4,0,0,0.0
specific_interest_areas_to_career_interest_types.csv,53,4,0,0,0.0
education.csv,11100,15,20958,0,2.75
work_context.csv,297676,16,721379,0,74.83
essential_skills_to_work_activities.csv,110,4,0,0,0.01
emerging_tasks.csv,328,8,550,0,0.07
work_context_categories.csv,281,6,0,0,0.04
interests_illustrative_occupations.csv,186,5,0,0,0.02
essential_skills.csv,17880,15,8940,0,3.56
sample_of_reported_titles.csv,7953,4,0,0,0.75
transferable_skills_to_work_context.csv,57,4,0,0,0.01
training_and_experience.csv,26025,15,36967,0,6.27
interests_illustrative_activities.csv,188,4,0,0,0.02
software_skills.csv,31821,7,0,0,4.84
abilities_to_work_context.csv,139,4,0,0,0.01
scales_reference.csv,32,4,0,0,0.0
transferable_skills.csv,44700,15,22350,0,9.13
gwas_to_iwas_to_dwas.csv,2087,6,0,0,0.42
essential_skills_to_work_context.csv,39,4,0,0,0.0
work_styles_to_work_context.csv,266,4,0,0,0.03
education_categories.csv,12,6,0,0,0.0
training_and_experience_categories.csv,29,6,2,0,0.0
work_styles_to_work_activities.csv,303,4,0,0,0.03
tasks_to_dwas.csv,23850,8,0,0,6.4
abilities.csv,92976,15,46488,0,19.01
job_zone_reference.csv,4,7,0,0,0.0
related_occupations.csv,18460,6,0,0,2.63
abilities_to_work_activities.csv,381,4,0,0,0.04
level_scale_anchors.csv,483,6,0,0,0.06
occupation_data.csv,1016,3,0,0,0.27
gwas_to_iwas.csv,332,4,0,0,0.04
content_model_reference.csv,3006,3,2419,0,0.28
task_categories.csv,7,4,0,0,0.0
task_ratings.csv,161559,15,231700,0,48.25
task_statements.csv,18796,8,2035,0,4.13
transferable_skills_to_work_activities.csv,122,4,0,0,0.01
work_styles.csv,37422,9,0,0,6.18
career_interest_types.csv,8307,9,0,0,1.54
work_activities.csv,73308,15,110900,0,16.95
job_titles.csv,57543,5,53404,0,6.32
survey_booklet_locations.csv,211,5,0,0,0.02
occupation_level_metadata.csv,32202,7,9276,0,4.88
knowledge.csv,59004,15,90608,0,12.27
